question,option1,option2,option3,option4,answer
What should you do when the traffic light is red? (Set 1),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 1),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 1),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 1),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 1),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 2),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 2),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 2),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 2),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 2),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 3),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 3),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 3),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 3),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 3),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 4),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 4),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 4),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 4),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 4),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 5),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 5),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 5),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 5),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 5),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 6),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 6),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 6),Go if clear,Stop,Reverse,Honk,Go if clear
What is the meaning of a stop sign? (Set 6),Stop completely,Slow down,Turn,No entry,Stop completely
What should you do at a zebra crossing? (Set 6),Give way to pedestrians,Speed up,Ignore,Honk,Give way to pedestrians
What should you do when the traffic light is red? (Set 7),Stop completely,Go fast,Turn left,Ignore,Stop completely
What does a yellow traffic light mean? (Set 7),Prepare to stop,Speed up,Stop immediately,Turn right,Prepare to stop
What should you do at a green signal? (Set 7),Go if clear,Stop,Reverse,Honk,Go if clear
